Name,ABN,Address_streetblock,Address_locality,postcode,Email,Address For Service email,Charity Size,Who the charity helps,Date established,Last reported,Next report due,Financial Year End,States,Total_Income,TGI_Government Grants,TGI_Donations_and_Bequests,TGI_Goods_or_Services,TGI_Income_Investments,TGI_Other Revenues,Total_Expense,TE_Grants_and_Donations_in_Australia,TE_Grants_Donations_Outside_of_Australia,TE_Interest,TE_Employees,TE_Other
Camden Haven Surf Life Saving Club Incorporated,62004921825,128 The Parade,North Haven,2443,secretary@chslsc.com,secretary@chslsc.com,Small,General community in Australia,1989,3 September 2019,31 October 2020,30-4月,NSW," $84,809.00",28275,15969,35467,1226,3872," $68,008.00",0,0,0,0,68008
Bribie Island Surf Life Saving Club Inc,48234084106,1 First Ave,Woorim,4507,bribiesc@bigpond.com.au,bribiesc@bigpond.com.au,Medium,General community in Australia,1988,24 July 2019,31 October 2020,30-4月,QLD," $286,291.00",47912,47965,11859,0,178555," $185,459.00",0,0,0,22226,163233
Broadbeach Surf Life Saving Club Inc.,67470166019,27 Broadbeach Bvd,Broadbeach,4218,office@broadbeachslsc.com,office@broadbeachslsc.com,Medium,"Adults - aged 25 to under 65,Children - aged 6 to under 15,Youth - 15 to under 25,General community in Australia",1985,7 June 2020,31 October 2021,30-4月,QLD," $361,607.00",66835,98248,13524,0,183000," $345,812.00",0,0,0,31188,314624
Birubi Point Surf Life Saving Club Incorporated,67616021024,Po Box 200,Anna Bay,2316,birubisecretary@gmail.com,birubisecretary@gmail.com,Small,"Adults - aged 25 to under 65,Children - aged 6 to under 15,Youth - 15 to under 25,General community in Australia",1998,13 August 2019,30 September 2020,31-3月,NSW," $86,114.00",11078,0,6700,2637,65699," $119,761.00",2000,0,0,0,117761
Bundaberg Surf Life Saving Club Inc,67054869018,Po Box 8282,Bargara,4670,treasurer@bundabergslsc.com.au,treasurer@bundabergslsc.com.au,Medium,"Females,Males,General community in Australia",1922,30 October 2019,31 October 2020,30-4月,QLD," $285,452.00",47082,51773,9594,10143,166860," $274,037.00",0,0,0,0,274037
Bellambi Surf Life Saving Club Inc,31559131560,1 Morgan Pl,Bellambi,2518,bellambislsc@bellambislsc.com.au,bellambislsc@bellambislsc.com.au,Small,General community in Australia,1907,18 October 2019,31 August 2020,30-6月,NSW," $12,265.00",5500,3302,0,0,3463," $25,398.00",0,0,0,0,25398
Inverloch Surf Life Saving Club,81679868651,163 Surf Parade,Inverloch,3996,info@islsc.org.au,info@islsc.org.au,Small,"Females,Males,General community in Australia",1998,26 November 2019,30 November 2020,31-5月,VIC," $132,747.00",27000,21479,83845,423,0," $143,102.00",5000,0,0,0,138102
Bancoora Surf Life Saving Club Inc.,65095505705,36 Riviera Cres,Ocean Grove,3226,robert3mckinley@gmail.com,robert3mckinley@gmail.com,Small,"Adults - aged 25 to under 65,Children - aged 6 to under 15,Females,Males,Youth - 15 to under 25,General community in Australia",1962,20 January 2020,31 October 2020,30-4月,VIC," $83,508.00",24250,10630,24672,8391,15565," $75,368.00",0,0,0,0,75368
Geraldton Surf Life Saving Club,83976723238,260 Willcock Dr,Mahomets Flats,6530,surfclub@geraldtonslsc.com.au,surfclub@geraldtonslsc.com.au,Small,"Children - aged 6 to under 15,Families,General community in Australia",1929,29 November 2019,31 December 2020,30-6月,WA," $193,568.00",65000,36408,40694,0,51466," $99,220.00",0,0,0,0,99220
Bondi Surf Bathers Life Savings Club Incorporated,78306614913,Queen Elizabeth Drive,Bondi Beach,2026,secretary@bondisurfclub.com,secretary@bondisurfclub.com,Medium,"Aboriginal and Torres Strait Islander people,Adults - aged 25 to under 65,Adults - aged 65 and over,Children - aged 6 to under 15,Families,Females,Financially disadvantaged people,Gay, lesbian, bisexual, transgender or intersex persons,Males,Overseas communities or charities,People from a culturally and linguistically diverse background,Youth - 15 to under 25,Other charities,General community in Australia",1905,1 November 2019,31 October 2020,30-4月,NSW," $904,639.00",41721,457532,274096,0,131290," $864,203.00",0,0,0,108502,755701
Forster Surf Lifesaving Club Inc,93595891528,Cnr Beach And North Street,Forster,2428,ka55za@live.com.au,ka55za@live.com.au,Small,General community in Australia,1988,1 October 2019,31 October 2020,30-4月,NSW," $133,319.00",21318,28041,0,25139,58821," $99,814.00",0,0,0,0,99814
Copacabana Surf Lifesaving Club Inc,74274870207,Del Monte Pl,Copacabana,2251,admin@copacabanaslsc.org.au,admin@copacabanaslsc.org.au,Small,"Adults - aged 25 to under 65,People with disabilities,Youth - 15 to under 25,General community in Australia",1990,5 August 2019,31 October 2019,30-4月,NSW," $103,257.00",10000,2920,85652,1671,3014," $135,285.00",0,0,0,0,135285
Bilinga Surf Life Saving Club Inc,81501062911,257 Golden Four Dr,Bilinga,4225,office@bilingaslsc.com,treasurer@bilingaslsc.com,Small,General community in Australia,1937,25 June 2019,31 October 2020,30-4月,QLD," $185,149.00",48084,19106,110519,174,7266," $181,996.00",0,0,0,24181,157815
Anglesea Surf Lifesaving Club Inc.,14544659974,100 Great Ocean Rd,Anglesea,3230,info@angleseaslsc.org.au,richard@westcarrharvey.com.au,Large,General community in Australia,1951,25 September 2019,31 October 2020,30-4月,VIC," $1,213,383.00",107750,637522,37431,9109,421571," $676,551.00",0,0,0,163802,512749
Port Bouvard Surf Lifesaving Club,68400951810,1 Southport Boulevard Dawesville,Mandurah,6211,admin@portbouvardslsc.com.au,admin@portbouvardslsc.com.au,Medium,"Youth - 15 to under 25,General community in Australia",2003,29 October 2019,31 October 2018,30-4月,WA," $830,688.00",652146,0,178542,0,0," $1,083,260.00",0,0,0,0,1083260
Somerset Surf Lifesaving Club,82684212685,Po Box 208,Somerset,7322,somersetslsc@slst.asn.au,treasurersslsc@gmail.com,Small,"Children - aged 6 to under 15,Youth - 15 to under 25,General community in Australia",,9 December 2019,30 November 2019,31-5月,TAS," $79,969.00",10000,0,69969,0,0," $77,249.00",0,0,0,0,77249
Bilgola Surf Lifesaving Club Inc,64566803132,"The Serpentine, Bilgola Beach",Bilgola,2107,director.finance@bilgolaslsc.org.au,club.coordinator@bilgolaslsc.org.au,Medium,General community in Australia,,1 June 2020,31 December 2020,30-6月,NSW," $391,983.00",18306,10313,318846,8890,35628," $334,797.00",0,0,0,0,334797
Coalcliff Surf Life Saving Club,63802218616,Lawrence Hargrave Drive,Coalcliff,2508,secretary@coalcliffslsc.com.au,secretary@coalcliffslsc.com.au,Small,General community in Australia,1921,28 January 2020,31 December 2020,30-6月,NSW," $45,602.00",27610,1753,3971,1139,11129," $36,745.00",0,0,0,0,36745
Alkimos Surf Life Saving Club Inc.,78406571985,100 Coolangatta Rise,Alkimos,6038,admin@alkimosslsc.com.au,clubdevelopment@alkimosslsc.com.au,Small,"Children - aged 6 to under 15,Families,Youth - 15 to under 25",2017,31 October 2019,31 October 2020,30-4月,WA," $63,131.00",31828,0,13102,0,18201," $75,777.00",38517,0,0,0,37260
Agnes Water Surf Life Saving Club Inc,45845287332,1 Surf Club Avenue,Agnes Water,4677,cwilliams@lifesaving.com.au,cwilliams@lifesaving.com.au,Small,"Children - aged 6 to under 15,General community in Australia",1990,8 July 2019,31 October 2020,30-4月,QLD," $60,587.00",23700,240,2451,612,33584," $71,675.00",0,0,0,0,71675
Devonport Surf Lifesaving Club,18158180993,41 Bluff Rd,Devonport,7310,mail@devonportsurfclub.asn.au,mail@devonportsurfclub.asn.au,Small,"Families,General community in Australia",1928,28 January 2020,31 December 2020,30-6月,TAS," $70,582.00",12364,7954,17290,0,32974," $71,046.00",0,0,0,0,71046
Avoca Beach Surf Life Saving Club Inc.,76358503029,10 Vine Street,Avoca Beach,2251,office@avocabeachslsc.asn.au,office@avocabeachslsc.asn.au,Large,"Aboriginal and Torres Strait Islander people,Adults - aged 25 to under 65,Adults - aged 65 and over,Children - aged 6 to under 15,Families,Females,Gay, lesbian, bisexual, transgender or intersex persons,Males,Migrants, refugees or asylum seekers,People with disabilities,Youth - 15 to under 25,General community in Australia",1928,26 November 2019,31 October 2020,30-4月,NSW," $1,368,564.00",0,73978,705898,0,588688," $1,429,723.00",0,0,0,533744,895979
Arcadian Surf Life Saving Club Inc,31184268117,The Rock Pool,Townsville,4810,arcadian@bigpond.net.au,arcadian@bigpond.net.au,Medium,"Adults - aged 25 to under 65,Adults - aged 65 and over,Children - aged 6 to under 15,Females,Males,Youth - 15 to under 25,General community in Australia",1927,23 October 2019,31 October 2020,30-4月,QLD," $276,844.00",74059,99951,69603,182,33049," $214,368.00",0,0,0,45737,168631
Black Head Surf Life Saving Club Incorporated,39153927691,1 Main St,Black Head,2430,markamowbray@gmail.com,markamowbray@gmail.com,Medium,"Aboriginal and Torres Strait Islander people,Adults - aged 25 to under 65,Adults - aged 65 and over,Children - aged 6 to under 15,Families,Females,Males,People from a culturally and linguistically diverse background,People in rural/regional/remote communities,Youth - 15 to under 25,General community in Australia",,15 February 2020,31 October 2020,30-4月,NSW," $257,984.00",100967,13773,0,0,143244," $109,744.00",0,0,0,0,109744
Yeppoon Surf Lifesaving Club Inc,99103215707,24 Anzac Pde,Yeppoon,4703,president@yeppoonslsc.com.au,president@yeppoonslsc.com.au,Small,"Adults - aged 25 to under 65,Children - aged 6 to under 15,Families,Females,Males,Youth - 15 to under 25,General community in Australia",,9 August 2019,31 October 2020,30-4月,QLD," $136,045.00",32908,2163,100974,0,0," $163,578.00",0,0,0,0,163578
Urunga Surf Life Saving Club,28198791026,Po Box 12,Urunga,2455,sandyclark12@gmail.com,sandyclark12@gmail.com,Medium,General community in Australia,1963,9 December 2019,31 December 2020,30-6月,NSW," $273,540.00",16443,220328,22114,5143,9512," $91,821.00",0,0,0,0,91821
Northcliffe Surf Life Saving Club Inc,63251188527,Po Box 980,Surfers Paradise,4217,info@northcliffesurfclub.com.au,info@northcliffesurfclub.com.au,Large,General community in Australia,1985,24 October 2019,31 October 2020,30-4月,QLD," $2,452,592.00",71144,1500000,881448,0,0," $2,527,897.00",0,0,81531,559998,1886368
Tamarama Surf Life Saving Club Incorporated,44608168834,1a Pacific Ave,Tamarama,2026,secretary@tamaramaslsc.org,secretary@tamaramaslsc.org,Small,General community in Australia,1905,30 September 2017,31 October 2018,30-4月,NSW," $220,826.00",0,90875,0,0,129951," $200,426.00",0,0,0,90000,110426
Sarina Surf Lifesaving Club Inc,64221537105,2b Owen Jenkins Dr,Sarina Beach,4737,lifesaving@sarinasurfclub.com.au,lifesaving@sarinasurfclub.com.au,Small,General community in Australia,1987,25 June 2018,31 October 2019,30-4月,QLD," $166,736.00",90961,3485,0,0,72290," $204,547.00",0,0,0,0,204547
Rainbow Beach Surf Lifesaving Club,79300618601,Po Box 36,Rainbow Beach,4581,surf@rainbowbeachsurf.com.au,handyfamily@bigpond.com,Medium,"Adults - aged 25 to under 65,Adults - aged 65 and over,Children - aged 6 to under 15,Youth - 15 to under 25,General community in Australia",1986,2 January 2019,31 October 2020,30-4月,QLD," $415,665.00",55649,183890,170921,171,5034," $192,504.00",0,0,0,26488,166016
Helensburgh Stanwell Park Surf Lifesaving Club Incorporated,92267821862,1 Beach Rd,Stanwell Park,2508,secretary@stanwellparksurfclub.com,secretary@stanwellparksurfclub.com,Small,General community in Australia,1907,1 October 2019,30 September 2020,31-3月,NSW," $179,171.00",28627,64588,47450,8725,29781," $170,215.00",3135,0,0,0,167080
Newcastle Surf Life Saving Club,42366587308,,,,newcslsc1908@gmail.com,newcslsc1908@gmail.com,Medium,General community in Australia,1904,15 January 2020,30 November 2020,31-5月,NSW," $255,000.00",10000,39000,180000,0,26000," $199,000.00",0,0,0,0,199000
Toowoon Bay Surf Lifesaving Club,58960471011,160 Bay Road,Toowoon Bay,2261,office.toowoonbayslsc@gmail.com,finance.toowoonbayslsc@gmail.com,Medium,"Families,People with disabilities,General community in Australia",1953,25 October 2019,31 October 2020,30-4月,NSW," $761,459.00",16500,12375,551431,1475,179678," $697,987.00",0,0,0,266805,431182
